"","class","activity","subject","mean","sd"
"1",1,"WALKING",1,-0.616973401597861,0.588597672314509
"2",1,"WALKING",1,-0.647452647823529,0.535919132370063
"3",1,"WALKING",1,-0.652025983711765,0.529974388104989
"4",1,"WALKING",1,-0.657534953336756,0.532444199278966
"5",1,"WALKING",1,-0.654057956196078,0.533657624298975
"6",1,"WALKING",1,-0.659554030525312,0.532248592816158
"7",1,"WALKING",1,-0.645116775069519,0.53565673190081
"8",1,"WALKING",1,-0.645325383887504,0.535450489791814
"9",1,"WALKING",1,-0.641482099815508,0.539961296555247
"10",1,"WALKING",1,-0.647290997762888,0.523756357116073
"11",1,"WALKING",1,-0.644086386082888,0.531620905398759
"12",1,"WALKING",1,-0.658825698502317,0.538804485611698
"13",1,"WALKING",1,-0.654020403976524,0.542897492203904
"14",1,"WALKING",1,-0.653875139931551,0.547634638062761
"15",1,"WALKING",1,-0.60943354542139,0.558989320693266
"16",1,"WALKING",1,-0.640511321434046,0.555611612698439
"17",1,"WALKING",1,-0.653508930552941,0.53760786801534
"18",1,"WALKING",1,-0.653391669550089,0.533196866545129
"19",1,"WALKING",1,-0.655448835994474,0.54330706344489
"20",1,"WALKING",1,-0.645527588281462,0.555186826371533
"21",1,"WALKING",1,-0.65609994263066,0.551546456326259
"22",1,"WALKING",1,-0.654135769801783,0.562833400033617
"23",1,"WALKING",1,-0.651505895317469,0.552812555858973
"24",1,"WALKING",1,-0.659999789363633,0.544871657712141
"25",1,"WALKING",1,-0.65056776896369,0.548991375059471
"26",1,"WALKING",1,-0.644122114043494,0.553975798884093
"27",1,"WALKING",1,-0.640787210232781,0.567724950633311
"28",1,"WALKING",1,-0.570213357480927,0.545480587120041
"29",1,"WALKING",1,-0.625172535675936,0.565282399359474
"30",1,"WALKING",1,-0.637487907064171,0.552927813737582
"31",1,"WALKING",1,-0.559968098207487,0.515393889016589
"32",1,"WALKING",1,-0.528745131451961,0.5275031161899
"33",1,"WALKING",1,-0.556676454634403,0.545021079062718
"34",1,"WALKING",1,-0.633179913416043,0.542316859701085
"35",1,"WALKING",1,-0.631428602746702,0.565257219612126
"36",1,"WALKING",1,-0.645136656863993,0.557757529544457
"37",1,"WALKING",1,-0.646204836351961,0.550816672387584
"38",1,"WALKING",1,-0.651208955461854,0.545716166173237
"39",1,"WALKING",1,-0.612689181286453,0.550884241418409
"40",1,"WALKING",1,-0.629372220849376,0.538692936898469
"41",1,"WALKING",1,-0.638599739738164,0.543834994524077
"42",1,"WALKING",1,-0.647367776978431,0.539348645725956
"43",1,"WALKING",1,-0.647291931333868,0.537302887539045
"44",1,"WALKING",1,-0.641141104321693,0.54873577791775
"45",1,"WALKING",1,-0.640233389382709,0.548163880611422
"46",1,"WALKING",1,-0.651022219299822,0.53813919887497
"47",1,"WALKING",1,-0.645440083469037,0.545783063452797
"48",1,"WALKING",1,-0.653014850709804,0.536208242615691
"49",1,"WALKING",1,-0.650811171713904,0.540945292570207
"50",1,"WALKING",1,-0.649183828508021,0.53706050295003
"51",1,"WALKING",1,-0.645873390263993,0.547636648486569
"52",1,"WALKING",1,-0.603132382210214,0.537159920077927
"53",1,"WALKING",1,-0.634715269611943,0.549550628318782
"54",1,"WALKING",1,-0.633303775152923,0.558268117308821
"55",1,"WALKING",1,-0.643603751138253,0.552753344676023
"56",1,"WALKING",1,-0.657309994401426,0.539928071694045
"57",1,"WALKING",1,-0.649761720088289,0.545210660147411
"58",1,"WALKING",1,-0.64246215870713,0.550371446691306
"59",1,"WALKING",1,-0.654821388556328,0.540702148011027
"60",1,"WALKING",1,-0.650407582471176,0.547693677034985
"61",1,"WALKING",1,-0.640711357536364,0.561358413748803
"62",1,"WALKING",1,-0.649275767327451,0.54823695132761
"63",1,"WALKING",1,-0.647666652908556,0.556785972416828
"64",1,"WALKING",1,-0.645282174283244,0.553407790334245
"65",1,"WALKING",1,-0.55111433523672,0.539108906165007
"66",1,"WALKING",1,-0.607154223268984,0.564290524787672
"67",1,"WALKING",1,-0.511076301806774,0.511860660935226
"68",1,"WALKING",1,-0.489405698459358,0.522162339376204
"69",1,"WALKING",1,-0.583101213003922,0.531707837505849
"70",1,"WALKING",1,-0.532658563961622,0.506771741853207
"71",1,"WALKING",1,-0.379584599360071,0.502255574175702
"72",1,"WALKING",1,-0.380870733689127,0.499262160637474
"73",1,"WALKING",1,-0.536864262049002,0.539560273583552
"74",1,"WALKING",1,-0.613548256128627,0.542792216097341
"75",1,"WALKING",1,-0.630347922547237,0.54312580742208
"76",1,"WALKING",1,-0.637217588987219,0.558492963327652
"77",1,"WALKING",1,-0.648395693625187,0.546930965945706
"78",1,"WALKING",1,-0.657808604004278,0.540801976965456
"79",1,"WALKING",1,-0.373762232922353,0.46247154958928
"80",1,"WALKING",1,-0.336874138709626,0.448117779825302
"81",1,"WALKING",1,-0.341955119642424,0.455458406295008
"82",1,"WALKING",1,-0.303804710649643,0.447900159231145
"83",1,"WALKING",1,-0.303013392548841,0.452446846054534
"84",1,"WALKING",1,-0.314193721670945,0.446778203370729
"85",1,"WALKING",1,-0.334004255122638,0.458665921866671
"86",1,"WALKING",1,-0.317855160262977,0.452838092033099
"87",1,"WALKING",1,-0.368292665177166,0.462333708040472
"88",1,"WALKING",1,-0.337928328406061,0.451507349882868
"89",1,"WALKING",1,-0.344280113168663,0.446759604664245
"90",1,"WALKING",1,-0.320794428905348,0.445361448243404
"91",1,"WALKING",1,-0.303972551243832,0.458524849668562
"92",1,"WALKING",1,-0.290712416360036,0.445391198036582
"93",1,"WALKING",1,-0.298929348282496,0.449136635318647
"94",1,"WALKING",1,-0.303826568447665,0.454304709121924
